Waypoint,Lat,Long,Site,Depth,bulk_dissol
1,21.27531,-157.76181,W,0.3758184,4.067773465
2,21.27523,-157.76265,W,0.420624,4.130583843
3,21.27504,-157.76328,W,0.5160264,4.461406547
4,21.27449,-157.76402,W,0.5647944,3.857300819
5,21.27503,-157.7617,W,0.42672,3.949940831
6,21.27485,-157.76234,W,0.3188208,3.384591034
7,21.27463,-157.76318,W,0.5160264,3.13797854
8,21.27436,-157.76364,W,0.4337304,4.013480749
9,21.27456,-157.76126,W,0.1267968,4.749056339
10,21.27427,-157.76208,W,0.173736,4.541240494
11,21.27399,-157.76295,W,0.1441704,4.136113325
12,21.27377,-157.76344,W,0.1908048,4.121763294
13,21.27353,-157.76089,W,0.0292608,5.57726824
14,21.27328,-157.76164,W,0.0079248,4.30519943
15,21.27309,-157.76244,W,0.6858,3.62030526
16,21.27288,-157.76306,W,0.8125968,3.530012062
17,21.27254,-157.76073,W,0.003048,6.209641594
18,21.27214,-157.76118,W,0.2599944,
19,21.27206,-157.76196,W,0.2630424,6.177509748
20,21.27185,-157.76279,W,0.1898904,6.263400524
21,21.2598,-157.78912,BP,0.5099304,4.091555332
22,21.25931,-157.78983,BP,0.521208,3.70254161
23,21.259,-157.79021,BP,0.7751064,4.172426607
24,21.25873,-157.79053,BP,0.566928,3.851878301
25,21.25954,-157.78909,BP,0.7760208,4.278644479
26,21.25891,-157.78981,BP,0.7242048,4.281290964
27,21.25889,-157.79007,BP,0.862584,3.443417693
28,21.25846,-157.79051,BP,0.6135624,4.367668097
29,21.25939,-157.78873,BP,0.5343144,4.864557943
30,21.25857,-157.78987,BP,0.6022848,3.674332346
31,21.25853,-157.79005,BP,0.4855464,4.188505939
32,21.25817,-157.79045,BP,0.4041648,5.992387376
33,21.25885,-157.788902,BP,0.4864608,4.910796388
34,21.25832,-157.78957,BP,0.667512,4.952774421
35,21.25809,-157.78984,BP,0.454152,5.421481237
36,21.25784,-157.79033,BP,0.3118104,4.699418229
37,21.25962,-157.7888,BP,0.73152,4.20497828
38,21.25893,-157.78972,BP,0.3179064,4.463931322
39,21.25864,-157.79005,BP,0.749808,4.565101565
40,21.25834,-157.79048,BP,0.50292,3.673893107
