"","name","to","Estimate","Est.Error","Q2.5","Q97.5","DayNight","Tide","Season"
"1","DayNightNight","DICdiffstd",-0.732339876367962,0.298058535228638,-1.3097950062368,-0.146532353452895,"Both","Both","Both"
"2","TideLowTide","DICdiffstd",-0.562752512047678,0.205534530280762,-0.948720816295365,-0.151400673124337,"Both","Both","Both"
"3","SeasonSpring","DICdiffstd",2.00641020844508,0.332209089089148,1.37729143654657,2.66691922064841,"Both","Both","Both"
"4","DayNightNight","Tempinstd",-0.761769803364426,0.0879385516955158,-0.934427769446991,-0.590977895540101,"Both","Both","Both"
"5","SeasonSpring","Tempinstd",-1.4452029537088,0.0928515242567054,-1.62396023667118,-1.25989918060798,"Both","Both","Both"
"6","pHstd","TAdiffstd",0.587242886422484,0.0762303915407729,0.443390433697375,0.736151529479913,"Both","Both","Both"
"7","Tempinstd","TAdiffstd",-0.0913213001982026,0.0852323079353039,-0.261262414820519,0.0735775779106857,"Both","Both","Both"
"8","DICdiffstd","pHstd",0.932298550148354,0.0292189191170624,0.876538567595193,0.98968824966571,"Both","Both","Both"
"9","logSGDstd","pHstd",0.172010164827823,0.0321384825464504,0.110212765094053,0.236862238331527,"Both","Both","Both"
"10","logSGDstd","logNNstd",1.07171121132059,0.0265276350658343,1.01908328407032,1.12203496718681,"Both","Both","Both"
"11","logNNstd","DICdiffstd",0.408149657200434,0.177360118495382,0.401800461042826,0.414498853358042,"Day","High","Both"
"12","logNNstd","DICdiffstd",-0.32983080534064,0.0608983176034513,-0.332010863447348,-0.327650747233931,"Day","Low","Both"
"13","logNNstd","DICdiffstd",-0.223414128357286,0.100777700955546,-0.227021801813459,-0.219806454901113,"Night","High","Both"
"14","logNNstd","DICdiffstd",-0.264484579036674,0.059713156711332,-0.266622210361949,-0.262346947711399,"Night","Low","Both"
"15","Temperature","DICdiffstd",1.00116253632283,0.2197837474464,0.993294645070671,1.00903042757499,"Both","Both","Fall"
"16","Temperature","DICdiffstd",1.19350188373363,0.189911932259103,1.18670335359725,1.20030041387001,"Both","Both","Spring"
"17","logSGDstd","Tempinstd",-0.244233364155002,0.0688990333768608,-0.246699834530024,-0.24176689377998,"Day","Both","Fall"
"18","logSGDstd","Tempinstd",-0.157671690675801,0.0607101478941278,-0.159845012621045,-0.155498368730556,"Day","Both","Spring"
"19","logSGDstd","Tempinstd",0.061503670828787,0.0619927319984136,0.0592844345137515,0.0637229071438225,"Night","Both","Fall"
"20","logSGDstd","Tempinstd",-0.00397043074529006,0.0664166052292072,-0.00634803433678537,-0.00159282715379476,"Night","Both","Spring"
