"","name","to","Estimate","Est.Error","Q2.5","Q97.5","DayNight","Tide","Season"
"1","DayNightNight","DICdiffstd",-1.33956812149457,0.196499083991147,-1.720912535046,-0.938493087590593,"Both","Both","Both"
"2","TideLowTide","DICdiffstd",-0.333883891493783,0.165623608197217,-0.661217410539179,-0.0106587676872246,"Both","Both","Both"
"3","SeasonSpring","DICdiffstd",-0.586644668718308,0.152929205686415,-0.886684345575343,-0.277690407167636,"Both","Both","Both"
"4","DayNightNight","Tempinstd",-0.608512578323464,0.0922905176577189,-0.791275007701264,-0.43238575519553,"Both","Both","Both"
"5","SeasonSpring","Tempinstd",-1.35047087151939,0.0941936783974476,-1.54067737945229,-1.17053569397042,"Both","Both","Both"
"6","pHstd","TAdiffstd",0.249560196883294,0.0982787572461035,0.0553878493357208,0.443300969746644,"Both","Both","Both"
"7","Tempinstd","TAdiffstd",0.213916901910461,0.0873311938874683,0.0397823818541492,0.377786027103895,"Both","Both","Both"
"8","DICdiffstd","pHstd",0.953278080052215,0.0305155662595034,0.8945727572303,1.01468479366874,"Both","Both","Both"
"9","logSGDstd","pHstd",-0.117714126767381,0.0253726474145785,-0.167234516834904,-0.0674190695072062,"Both","Both","Both"
"10","logSGDstd","logNNstd",0.677566771093514,0.0249466177642226,0.629624544976665,0.727393688012991,"Both","Both","Both"
"11","logNNstd","DICdiffstd",-0.0917645603957017,0.183639204054854,-0.0983385373340495,-0.0851905834573539,"Day","High","Both"
"12","logNNstd","DICdiffstd",0.333587082992758,0.068789950964985,0.331124517585979,0.336049648399537,"Day","Low","Both"
"13","logNNstd","DICdiffstd",-0.0554216508601852,0.148418475843687,-0.0607347845259665,-0.0501085171944039,"Night","High","Both"
"14","logNNstd","DICdiffstd",0.170301765924653,0.0705147433554838,0.167777455829658,0.172826076019648,"Night","Low","Both"
"15","Temperature","DICdiffstd",0.260075514400694,0.0939049038188869,0.256713875608583,0.263437153192805,"Both","Both","Fall"
"16","Temperature","DICdiffstd",0.182238925668224,0.117140668207358,0.178045485300731,0.186432366035716,"Both","Both","Spring"
"17","logSGDstd","Tempinstd",-0.509644165733478,0.0780487857618123,-0.512438181969309,-0.506850149497648,"Day","Both","Fall"
"18","logSGDstd","Tempinstd",-0.405615390023883,0.0622231055399011,-0.407842873327119,-0.403387906720647,"Day","Both","Spring"
"19","logSGDstd","Tempinstd",-0.349046224560052,0.0567996949275467,-0.351079558817193,-0.347012890302911,"Night","Both","Fall"
"20","logSGDstd","Tempinstd",-0.235464369856005,0.0799835073213254,-0.238327645893846,-0.232601093818163,"Night","Both","Spring"
