"rowname","Estimate_BP","Est.Error_BP","Q2.5_BP","Q97.5_BP","Estimate_W","Est.Error_W","Q2.5_W","Q97.5_W"
"TAdiffstd_Intercept",-0.0874359773297775,0.0854134461117421,-0.253114968288513,0.0838838821642864,0.0711356421654786,0.0616482737896618,-0.0505845236413082,0.192278533595579
"pHstd_Intercept",0.129727356242361,0.0307560216756225,0.067867091794827,0.190949477806159,-0.170581727603819,0.0254903249864098,-0.220816442424558,-0.121802605772802
"DICdiffstd_Intercept",-0.377461361633855,0.382690094663764,-1.13343441676064,0.359565539147564,0.842951738221387,0.182578698262094,0.490955214053811,1.2155265827002
"Tempinstd_Intercept",1.34393749318489,0.0621315369823361,1.21750552378705,1.46640677038773,0.739019215617472,0.0695830143973896,0.604611805781128,0.872000004252251
"logNNstd_Intercept",0.167389992511138,0.0270080453913451,0.112802971275632,0.220340956378057,-0.224517604111551,0.0242713371486491,-0.272174773375018,-0.176455934909908
"TAdiffstd_pHstd",0.587242886422484,0.0762303915407729,0.443390433697375,0.736151529479913,0.248527416746681,0.10041498501159,0.0492764466682746,0.445568796177405
"TAdiffstd_Tempinstd",-0.0913213001982026,0.0852323079353039,-0.261262414820519,0.0735775779106857,0.214893004267282,0.0886585872246516,0.037239325359705,0.386895501622557
"pHstd_DICdiffstd",0.932298550148354,0.0292189191170624,0.876538567595193,0.98968824966571,0.953788919868847,0.0298541121741521,0.896929498520149,1.00953248383474
"pHstd_logSGDstd",0.172010164827823,0.0321384825464504,0.110212765094053,0.236862238331527,-0.118182147779418,0.0249037685655037,-0.166586173954868,-0.0692375551175069
"DICdiffstd_DayNightNight",-0.732339876367962,0.298058535228638,-1.3097950062368,-0.146532353452895,-1.33863899436803,0.206535160769392,-1.75488743122948,-0.942894613939634
"DICdiffstd_TideLowTide",-0.562752512047678,0.205534530280762,-0.948720816295365,-0.151400673124337,-0.334014128152855,0.174240629303697,-0.68249783414555,0.00165130005506567
"DICdiffstd_logNNstd",0.408149657200434,0.177360118495382,0.0618529659037842,0.749871330637559,-0.0860635160648502,0.191087096899751,-0.463359929197518,0.283402854491962
"DICdiffstd_SeasonSpring",2.00641020844508,0.332209089089148,1.37729143654657,2.66691922064841,-0.580408431128079,0.152353821942901,-0.875511657088147,-0.296376747540652
"DICdiffstd_Tempinstd",1.00116253632283,0.2197837474464,0.577316185959126,1.43558970797451,0.261112830685264,0.0937259222350334,0.0787550288435201,0.442610614157582
"DICdiffstd_DayNightNight:TideLowTide",0.561407724257911,0.278920645307985,0.0342517901259619,1.0870888679227,0.880684981076773,0.211078013143186,0.470922918996512,1.2965430693121
"DICdiffstd_DayNightNight:logNNstd",-0.63156378555772,0.212213725642684,-1.0349757091038,-0.209139825640944,0.0302470403932071,0.246228635441809,-0.447837776975143,0.508987591944276
"DICdiffstd_TideLowTide:logNNstd",-0.737980462541074,0.194708316892686,-1.11385077310655,-0.352762272057305,0.41963803259848,0.202841853883028,0.0180671517403123,0.820858969950867
"DICdiffstd_SeasonSpring:Tempinstd",0.192339347410802,0.155247854640326,-0.11537409602241,0.50084084955658,-0.0737490879670654,0.0910507601700426,-0.251051554246033,0.105913131618538
"DICdiffstd_DayNightNight:TideLowTide:logNNstd",0.696910011861686,0.236882900558258,0.232041005613923,1.15038579731214,-0.194280068687967,0.257052914084175,-0.703535942455273,0.316038963471669
"Tempinstd_DayNightNight",-0.761769803364426,0.0879385516955158,-0.934427769446991,-0.590977895540101,-0.608151971011537,0.0956740830212838,-0.786629095383386,-0.422925100056107
"Tempinstd_logSGDstd",-0.244233364155002,0.0688990333768608,-0.380182235564274,-0.109563302804994,-0.51116770942031,0.0791566429208313,-0.668444007198863,-0.35517941546858
"Tempinstd_SeasonSpring",-1.4452029537088,0.0928515242567054,-1.62396023667118,-1.25989918060798,-1.34633139794642,0.0968706745094436,-1.53536106459158,-1.15017532798588
"Tempinstd_DayNightNight:logSGDstd",0.305737034983789,0.091334084153151,0.127923969064095,0.486938126624513,0.164040744393629,0.0966332474092577,-0.0252290637531217,0.357852157956174
"Tempinstd_DayNightNight:SeasonSpring",-0.257614639762313,0.131769203824764,-0.505643130722295,0.00839061750191265,-0.086144004961671,0.137623966424455,-0.352045355374632,0.179127380360568
"Tempinstd_logSGDstd:SeasonSpring",0.0865616734792012,0.0911629163239193,-0.0917238325416783,0.261326065333899,0.106166337988126,0.100503062750962,-0.0909434573201276,0.306261843231683
"Tempinstd_DayNightNight:logSGDstd:SeasonSpring",-0.152035775053278,0.126163856058594,-0.39775671569685,0.0929019140243158,0.00608090425338493,0.139347035690712,-0.275142972612132,0.270143098178772
"logNNstd_logSGDstd",1.07171121132059,0.0265276350658343,1.01908328407032,1.12203496718681,0.678322323907381,0.0239605712575605,0.630137569696458,0.725237742551617
